OBJECTID,DevEUI,Temperature,Humidity,VDD,Distance,Pressure,Timestamp
1,a81758fffe03e451,-3,78,3572,5000,1009.395,2019/11/24 04:29:21.508+00
2,a81758fffe03e451,-3,78,3572,5000,1009.565,2019/11/24 04:39:21.481+00
3,a81758fffe03e451,-3,78,3572,5000,1009.393,2019/11/24 04:49:21.466+00
4,a81758fffe03e451,-3,78,3572,5000,1009.336,2019/11/24 04:59:21.444+00
5,a81758fffe03e451,-3.1,78,3572,5000,1009.448,2019/11/24 05:19:21.397+00
6,a81758fffe03e451,-3.2,78,3572,5000,1009.34,2019/11/24 05:29:21.418+00
7,a81758fffe03e451,-3.2,78,3572,5000,1009.228,2019/11/24 05:39:21.392+00
8,a81758fffe03e451,-3.3,78,3572,5000,1009.095,2019/11/24 05:49:21.333+00
9,a81758fffe03e451,-3.4,78,3572,5000,1009.221,2019/11/24 05:59:21.315+00
10,a81758fffe03e451,-3.5,78,3572,5000,1009.218,2019/11/24 06:09:21.287+00
11,a81758fffe03e451,-5.7,79,3572,5000,1027.256,2020/01/23 23:46:28.109+00
12,a81758fffe03e451,-5.8,79,3570,5000,1027.342,2020/01/23 23:56:28.085+00
13,a81758fffe03e451,-5.9,79,3570,5000,1027.454,2020/01/24 00:06:28.069+00
14,a81758fffe03e451,-6,79,3570,5000,1027.623,2020/01/24 00:16:28.089+00
15,a81758fffe03e451,-6.1,79,3567,5000,1027.762,2020/01/24 00:26:28.066+00
16,a81758fffe03e451,-6.3,79,3567,5000,1028.087,2020/01/24 00:36:28.019+00
17,a81758fffe03e451,-6.7,80,3567,5000,1028.115,2020/01/24 00:46:28+00
18,a81758fffe03e451,-6.6,80,3567,5000,1027.91,2020/01/24 01:06:27.965+00
19,a81758fffe03e451,-6.1,80,3567,5000,1028.024,2020/01/24 01:16:27.945+00
20,a81758fffe03e451,-8.3,80,3562,5000,1028.408,2020/01/24 02:46:27.853+00
21,a81758fffe03e451,-8.3,80,3562,5000,1028.521,2020/01/24 02:56:27.826+00
22,a81758fffe03e451,-8.6,80,3562,5000,1028.62,2020/01/24 03:06:27.807+00
23,a81758fffe03e451,-8.5,80,3562,5000,1028.696,2020/01/24 03:16:27.761+00
24,a81758fffe03e451,-8.8,80,3562,5000,1028.861,2020/01/24 03:26:27.748+00
25,a81758fffe03e451,-9.3,80,3562,5000,1028.959,2020/01/24 03:36:27.733+00
26,a81758fffe03e451,-8.9,80,3562,5000,1028.97,2020/01/24 03:46:27.716+00
27,a81758fffe03e451,-8.6,80,3562,5000,1029.161,2020/01/24 03:56:27.709+00
28,a81758fffe03e451,-9.4,80,3562,5000,1029.328,2020/01/24 04:06:27.693+00
29,a81758fffe03e451,-9.4,80,3562,5000,1029.373,2020/01/24 04:16:27.682+00
30,a81758fffe03e451,-9.4,80,3560,5000,1029.567,2020/01/24 04:26:27.706+00
31,a81758fffe03e451,1.5,83,3578,5000,1034.246,2020/01/24 18:26:26.401+00
32,a81758fffe03e451,0,81,3578,5000,1012.941,2020/02/11 21:05:38.765+00
33,a81758fffe03e451,-0.1,81,3578,5000,1012.797,2020/02/11 21:15:38.698+00
34,a81758fffe03e451,-0.1,81,3575,5000,1012.516,2020/02/11 21:25:38.670+00
35,a81758fffe03e451,-0.1,81,3575,5000,1012.351,2020/02/11 21:35:38.653+00
36,a81758fffe03e451,-0.2,81,3578,5000,1012.457,2020/02/11 21:45:38.616+00
37,a81758fffe03e451,-0.2,81,3575,5000,1012.086,2020/02/11 21:55:38.604+00
38,a81758fffe03e451,-0.2,81,3578,5000,1011.841,2020/02/11 22:05:38.568+00
39,a81758fffe03e451,-0.3,81,3575,5000,1011.719,2020/02/11 22:15:38.582+00
40,a81758fffe03e451,-0.4,81,3575,5000,1011.427,2020/02/11 22:25:38.587+00
41,a81758fffe03e451,-0.5,81,3575,5000,1011.231,2020/02/11 22:35:38.543+00
42,a81758fffe03e451,-0.6,81,3578,5000,1011.141,2020/02/11 22:45:38.479+00
43,a81758fffe03e451,-0.6,81,3575,5000,1011.102,2020/02/11 22:55:38.484+00
44,a81758fffe03e451,-0.6,81,3575,5000,1010.909,2020/02/11 23:05:38.421+00
45,a81758fffe03e451,-0.6,81,3575,5000,1010.599,2020/02/11 23:15:38.398+00
46,a81758fffe03e451,-0.6,81,3578,5000,1010.31,2020/02/11 23:25:38.373+00
47,a81758fffe03e451,-0.6,81,3578,5000,1010.149,2020/02/11 23:35:38.345+00
48,a81758fffe03e451,-0.7,81,3575,5000,1009.972,2020/02/11 23:45:38.365+00
49,a81758fffe03e451,-0.7,81,3575,5000,1009.612,2020/02/11 23:55:38.347+00
50,a81758fffe03e451,-0.7,81,3575,5000,1009.487,2020/02/12 00:05:38.305+00
51,a81758fffe03e451,-0.7,81,3572,5000,1009.298,2020/02/12 00:15:38.254+00
